,Time,User ID,Number of request
136,0,10325,1
137,0,94198,2
138,0,37638,4
139,0,58083,1
140,0,13961,1
141,0,103604,9
142,0,90166,2
143,0,47558,2
144,0,6653,1
145,0,86938,1
146,0,60099,2
147,0,78362,1
148,0,68964,2
149,0,80394,3
150,0,65194,1
151,0,62692,2
152,0,30131,1
153,0,1410,1
154,0,124410,3
155,0,8701,3
156,0,86530,1
157,0,93518,1
158,0,37329,1
159,0,80865,1
160,0,128064,2
161,0,48195,6
162,0,69517,3
163,0,81852,1
164,0,34770,5
165,0,53898,2
166,0,48382,1
167,0,10475,2
168,0,97452,1
169,0,125996,2
170,0,1718,1
171,0,126214,4
172,0,108474,7
173,0,87439,1
174,0,32893,2
175,0,81634,1
176,0,87959,1
177,0,81860,1
178,0,108717,4
179,0,62461,1
180,0,7218,1
181,0,93813,8
182,0,59672,3
183,0,23817,1
184,0,37377,1
185,0,60639,3
186,0,102858,1
187,0,86415,1
188,0,67027,1
189,0,22561,3
190,0,108511,6
191,0,39590,2
192,0,19020,1
193,0,46787,2
194,0,14452,1
195,0,44856,1
196,0,27843,1
197,0,50383,1
198,0,76939,2
199,0,99639,4
200,0,1998,2
201,0,74162,5
202,0,84038,1
203,0,12398,1
204,0,51272,1
205,0,105144,10
206,0,110869,1
207,0,109739,2
208,0,46089,4
209,0,131249,2
210,0,76145,1
211,0,4124,1
212,0,116751,1
213,0,2402,1
214,0,43782,4
215,0,93245,1
216,0,12685,1
217,0,93712,8
218,0,49771,3
219,0,105257,1
220,0,78320,1
221,0,12026,1
222,0,127588,3
223,0,113677,1
224,0,55222,1
225,0,117217,1
226,0,122523,1
227,0,85191,1
228,0,18987,2
229,0,12148,2
230,0,18857,1
231,0,80608,1
232,0,107283,1
233,0,129462,1
234,0,15365,1
235,0,126147,4
236,0,87093,1
237,0,7272,1
238,0,124549,2
239,0,25208,1
240,0,114718,2
241,0,106497,1
242,0,37716,1
243,0,119584,1
244,0,13104,8
245,0,594,4
246,0,96319,2
247,0,19382,1
248,0,61466,3
249,0,95943,1
250,0,114103,4
251,0,9409,1
252,0,118160,6
253,0,56950,2
254,0,56365,3
255,0,44276,1
256,0,58226,1
257,0,59340,2
258,0,100446,7
259,0,92860,1
260,0,45355,1
261,0,6275,1
262,0,131677,1
263,0,127666,7
264,0,34703,2
265,0,42569,1
266,0,37722,3
267,0,72694,1
268,0,76429,1
269,0,4774,3
270,0,111967,4
271,0,25363,1
272,0,39962,6
273,0,43194,1
274,0,131729,3
275,0,86436,3
276,0,94917,3
277,0,86246,1
278,0,15397,1
279,0,2138,1
280,0,11132,1
281,0,130804,2
282,0,115036,1
283,0,130842,2
284,0,66990,1
285,0,123103,1
286,0,63879,1
287,0,94760,2
288,0,69321,1
289,0,55060,1
290,0,106358,1
291,0,73835,1
292,0,101096,2
293,0,24595,3
294,0,53046,1
295,0,66238,1
296,0,30768,1
297,0,21092,2
298,0,74584,1
299,0,93724,1
300,0,27553,1
301,0,131983,1
302,0,10559,1
303,0,44835,1
304,0,22230,1
305,0,2763,1
306,0,40364,1
307,0,48453,1
308,0,126922,1
309,0,82942,3
310,0,25104,7
311,0,63990,1
312,0,103849,1
313,0,62399,1
314,0,73209,2
315,0,33500,2
316,0,28182,1
317,0,70726,1
318,0,18201,1
319,0,54532,1
320,0,68655,1
321,0,29843,2
322,0,78274,2
323,0,97866,1
324,0,83150,3
325,0,64334,1
326,0,80733,1
327,0,102572,1
328,0,28208,2
329,0,79280,1
330,0,6718,1
331,0,2960,1
332,0,86214,1
333,0,92136,2
334,0,50253,1
335,0,10344,1
336,0,72799,1
337,0,63281,1
338,0,22559,1
339,0,126070,1
340,0,7377,1
341,0,8822,2
342,0,4555,1
343,0,14791,3
344,0,55497,5
345,0,108280,1
346,0,67708,3
347,0,24194,1
348,0,22651,2
349,0,80855,1
350,0,80683,1
351,0,129414,5
352,0,128566,2
353,0,20319,1
354,0,30763,1
355,0,122306,1
356,0,4078,1
357,0,61193,2
358,0,61599,6
359,0,11813,1
360,0,7707,2
361,0,67765,4
362,0,127168,1
363,0,19968,1
364,0,946,1
365,0,35282,1
366,0,32565,4
367,0,76433,1
368,0,130864,2
369,0,130146,1
370,0,3913,1
371,0,51207,2
372,0,50780,1
373,0,58532,1
374,0,124189,1
375,0,51038,1
376,0,12573,1
377,0,22571,1
378,0,75669,1
379,0,50049,1
380,0,9508,3
381,0,72235,1
382,0,76553,1
383,0,66309,2
384,0,32052,1
385,0,84546,1
386,0,68340,3
387,0,61257,1
388,0,90547,2
389,0,34973,1
390,0,51503,1
391,0,94484,2
392,0,89832,3
393,0,860,1
394,0,12927,2
395,0,56636,2
396,0,118962,1
397,0,28619,1
398,0,126533,1
399,0,81177,4
400,0,9997,1
401,0,69232,1
402,0,105299,1
403,0,93263,1
404,0,45795,1
405,0,84592,8
406,0,28661,1
407,0,67599,1
408,0,11016,1
409,0,83811,1
410,0,23071,1
411,0,109113,3
412,0,84388,1
413,0,85065,2
414,0,71641,3
415,0,34494,3
416,0,12568,1
417,0,113933,1
418,0,124169,1
419,0,88251,1
420,0,62305,1
421,0,19874,2
422,0,68443,2
423,0,30167,3
424,0,38380,2
425,0,43791,2
426,0,21307,2
427,0,9768,8
428,0,75612,2
429,0,98477,1
430,0,8413,1
431,0,47685,4
432,0,50738,1
433,0,37678,3
434,0,12748,1
435,0,89232,2
436,0,97576,1
437,0,118682,2
438,0,81397,3
439,0,61482,1
440,0,42606,1
441,0,87994,1
442,0,124206,2
443,0,25751,1
444,0,74491,1
445,0,63991,2
446,0,111386,1
447,0,41840,1
448,0,119615,1
449,0,25364,4
450,0,97793,1
451,0,52744,2
452,0,78618,1
453,0,44149,2
454,0,9708,1
455,0,64957,1
456,0,104377,2
457,0,61631,1
458,0,31871,1
459,0,13025,1
460,0,83662,1
461,0,120485,1
462,0,108074,4
463,0,60200,1
464,0,63615,1
465,0,53315,3
466,0,25969,1
467,0,14554,1
468,0,96753,1
469,0,109434,1
470,0,55757,1
471,0,13395,1
472,0,28801,4
473,0,31870,1
474,0,20953,1
475,0,122055,3
476,0,40654,2
477,0,105379,1
478,0,74672,2
479,0,104634,4
480,0,95003,1
481,0,98206,4
482,0,111307,1
483,0,125361,5
484,0,28403,1
485,0,83820,1
486,0,41425,1
487,0,68145,3
488,0,12906,2
489,0,47024,1
490,0,74903,1
491,0,57641,1
492,0,109302,4
493,0,124363,1
494,0,16267,1
495,0,123544,2
496,0,52729,1
497,0,101705,2
498,0,75541,1
499,0,49130,2
500,0,19219,1
501,0,17859,1
502,0,39305,1
503,0,76632,1
504,0,55332,1
505,0,76551,2
506,0,36937,2
507,0,31599,3
508,0,45899,2
509,0,55103,5
510,0,47494,1
511,0,49900,3
512,0,76727,1
513,0,108454,7
514,0,101494,2
515,0,60518,1
516,0,124897,5
517,0,8538,3
518,0,47735,1
519,0,29533,4
520,0,19154,3
521,0,70125,1
522,0,25742,2
523,0,84518,1
524,0,108494,1
525,0,8355,2
526,0,90491,1
527,0,43038,1
528,0,31233,1
529,0,88132,2
530,0,31973,1
531,0,47944,1
532,0,40765,2
533,0,7687,1
534,0,20731,4
535,0,5279,2
536,0,54760,1
537,0,123589,1
538,0,119627,1
539,0,91104,3
540,0,26048,1
541,0,108195,1
542,0,72245,1
543,0,39003,1
544,0,33217,1
545,0,102672,1
546,0,90156,1
547,0,84959,1
548,0,39350,2
549,0,105040,1
550,0,30637,1
551,0,86805,1
552,0,4664,2
553,0,10093,1
554,0,28431,3
555,0,5404,1
556,0,39067,1
557,0,126597,3
558,0,129254,2
559,0,128194,2
560,0,32366,1
561,0,21764,1
562,0,1406,2
563,0,131153,1
564,0,72077,1
565,0,121891,1
566,0,16631,1
567,0,99146,3
568,0,64100,1
569,0,28768,2
570,0,45220,2
571,0,11917,1
572,0,109082,1
573,0,55842,1
574,0,27380,1
575,0,3903,1
576,0,62114,3
577,0,21779,1
578,0,53492,1
579,0,110370,2
580,0,17089,1
581,0,36842,2
582,0,25584,2
583,0,127268,1
584,0,76809,1
585,0,52267,4
586,0,66932,1
587,0,83516,1
588,0,90354,2
589,0,64810,2
590,0,1128,1
591,0,107852,1
592,0,23895,1
593,0,30175,1
594,0,94386,1
595,0,70365,2
596,0,124856,1
597,0,97445,1
598,0,49770,4
599,0,94950,1
600,0,13121,2
601,0,115347,1
602,0,111427,2
603,0,64915,1
604,0,3249,1
605,0,102458,2
606,0,38922,1
607,0,34498,1
608,0,109475,1
609,0,21717,1
610,0,75142,1
611,0,109361,1
612,0,34207,1
613,0,106040,1
614,0,68495,1
615,0,84660,1
616,0,57340,1
617,0,30547,1
618,0,120582,1
619,0,113731,1
620,0,13474,1
621,0,115645,1
622,0,129962,1
623,0,93295,2
624,0,120626,1
625,0,102075,1
626,0,45884,1
627,0,82145,1
628,0,56570,1
629,0,27746,2
630,0,130817,1
631,0,28911,1
632,0,120536,1
633,0,123012,1
634,0,88434,1
635,0,103029,1
636,0,18983,2
637,0,116439,1
638,0,10966,4
639,0,48361,1
640,0,36454,1
641,0,70912,1
642,0,23331,2
643,0,46624,1
644,0,12597,1
645,0,18147,1
646,0,12405,1
647,0,70362,2
648,0,130168,1
649,0,124354,3
650,0,98056,1
651,0,100505,1
652,0,6227,1
653,0,104788,1
654,0,128894,1
655,0,33034,1
656,0,91154,1
657,0,15649,2
658,0,35104,1
659,0,5563,1
660,0,37645,1
661,0,90093,1
662,0,18396,2
663,0,28022,1
664,0,107693,1
665,0,53313,1
666,0,14038,2
667,0,110227,2
668,0,97695,1
669,0,36726,1
670,0,106998,1
671,0,5983,1
672,0,10084,1
673,0,7855,1
674,0,87896,1
675,0,76334,1
676,0,1076,1
677,0,366,1
678,0,2525,1
679,0,60979,1
680,0,53372,1
681,0,118903,2
682,0,75890,1
683,0,22138,1
684,0,52537,1
685,0,118413,1
686,0,117775,2
687,0,6417,1
688,0,27146,1
689,0,8221,2
690,0,54658,1
691,0,5832,1
692,0,45377,1
693,0,30925,3
694,0,37572,1
695,0,58057,1
696,0,119509,1
697,0,124087,1
698,0,52338,1
699,0,45835,1
700,0,73032,1
701,0,13879,2
702,0,125254,1
703,0,65277,2
704,0,86434,1
705,0,28960,1
706,0,12771,1
707,0,118359,1
708,0,38131,2
709,0,94273,1
710,0,83194,1
711,0,67249,1
712,0,34034,2
713,0,127153,1
714,0,61253,1
715,0,85408,1
716,0,80806,1
717,0,75007,1
718,0,58032,1
719,0,130216,1
720,0,55593,2
721,0,18858,2
722,0,108020,1
723,0,94477,1
724,0,50977,1
725,0,131072,1
726,0,114704,2
727,0,43040,1
728,0,27193,1
729,0,50064,2
730,0,128180,1
731,0,86297,2
732,0,107419,1
733,0,56632,1
734,0,112563,1
735,0,103609,1
736,0,81048,1
737,0,5822,1
738,0,13571,1
739,0,81953,1
740,0,121565,1
741,0,22815,2
742,0,107649,1
743,0,72138,1
744,0,23270,1
745,0,47673,1
746,0,50265,1
747,0,88884,2
748,0,38203,1
749,0,50410,1
750,0,9013,1
751,0,26985,1
752,0,95262,1
753,0,61532,5
754,0,114294,1
755,0,35453,1
756,0,19541,2
757,0,128858,1
758,0,55430,1
759,0,99687,3
760,0,55434,1
761,0,67345,2
762,0,110105,2
763,0,74880,1
764,0,80565,2
765,0,112817,1
766,0,98351,1
767,0,23685,1
768,0,17325,1
769,0,114375,1
770,0,77756,1
771,0,118196,1
772,0,23221,1
773,0,51118,1
774,0,39286,1
775,0,3308,1
776,0,4038,1
777,0,95241,1
778,0,72085,1
779,0,125594,1
780,0,83370,1
781,0,85686,1
782,0,126905,1
783,0,95855,1
784,0,39481,1
785,0,59464,1
786,0,20998,1
787,0,65485,1
788,0,50273,1
789,0,1220,1
790,0,4137,1
791,0,101443,1
792,0,45231,1
793,0,99265,1
794,0,43576,1
795,0,84477,1
796,0,118366,1
797,0,70408,1
798,0,71995,1
799,0,1156,1
800,0,10793,1
801,0,58695,2
802,0,98940,1
803,0,127671,1
804,0,48529,1
805,0,105862,2
806,0,44916,1
807,0,129010,1
808,0,24070,1
809,0,14365,2
810,0,105859,1
811,0,84034,3
812,0,15319,3
813,0,31023,1
814,0,97381,1
815,0,2742,1
816,0,90210,1
817,0,93894,1
818,0,67828,1
819,0,105267,1
820,0,1595,1
821,0,111315,1
822,0,57188,1
823,0,116269,1
824,0,32214,1
825,0,33470,1
826,0,54890,5
827,0,92286,4
828,0,45559,1
829,0,2417,1
830,0,31466,1
831,0,77801,1
832,0,25048,3
833,0,54013,1
834,0,94455,1
835,0,85687,1
836,0,122560,1
837,0,108092,1
838,0,103867,1
839,0,251,1
840,0,110703,1
841,0,92346,1
842,0,86309,1
843,0,81777,1
844,0,47319,2
845,0,22008,1
846,0,18469,2
847,0,78018,1
848,0,21300,1
849,0,87694,1
850,0,36791,1
851,0,119342,1
852,0,38696,1
853,0,103591,1
854,0,56489,1
855,0,77233,1
856,0,124255,1
857,0,85979,1
858,0,32777,1
859,0,40056,1
860,0,114997,1
861,0,46338,1
862,0,27802,1
863,0,114370,1
864,0,21118,1
865,0,35519,1
866,0,65110,2
867,0,64806,2
868,0,104006,1
869,0,86542,1
870,0,121860,1
871,0,57422,1
872,0,90275,1
873,0,32460,1
874,0,63707,1
875,0,108997,1
876,0,24804,1
877,0,7369,1
878,0,7774,1
879,0,124288,1
880,0,44766,2
881,0,9475,1
882,0,83821,2
883,0,8481,1
884,0,70187,1
885,0,102425,1
886,0,38242,1
887,0,79518,2
888,0,110582,1
889,0,128257,2
890,0,96127,1
891,0,49315,1
892,0,116881,1
893,0,3056,1
894,0,94715,1
895,0,52807,1
896,0,26794,1
897,0,37322,1
898,0,71371,1
899,0,130772,1
900,0,68422,2
901,0,127318,1
902,0,10777,1
903,0,75452,1
904,0,24809,1
905,0,23803,1
906,0,82468,1
907,0,91161,3
908,0,22074,1
909,0,78812,1
910,0,61509,1
911,0,52763,1
912,0,12113,1
913,0,2422,1
914,0,21777,1
915,0,83887,1
916,0,2149,1
917,0,20195,2
918,0,64975,2
919,0,57277,1
920,0,44902,1
921,0,42164,1
922,0,96010,1
923,0,62401,1
924,0,80723,1
925,0,84042,1
926,0,115426,1
927,0,96344,1
928,0,36505,1
929,0,108143,2
930,0,128610,1
931,0,33624,2
932,0,68418,1
933,0,26515,1
934,0,127849,1
935,0,3267,1
936,0,34868,1
937,0,71562,1
938,0,82830,1
939,0,12170,1
940,0,91111,2
941,0,40190,1
942,0,118247,1
943,0,83665,1
944,0,33036,1
945,0,60101,1
946,0,19782,1
947,0,11994,1
948,0,87203,1
949,0,46798,1
950,0,1929,1
951,0,31298,1
952,0,28668,1
953,0,101276,1
954,0,52659,1
955,0,58813,1
956,0,80355,1
957,0,97976,1
958,0,71824,1
959,0,25515,1
960,0,112985,1
961,0,123395,1
962,0,104034,1
963,0,131890,1
964,0,100911,1
965,0,123214,2
966,0,91388,1
967,0,126241,1
968,0,120775,1
969,0,81142,1
970,0,5242,1
971,0,8337,2
972,0,115225,1
973,0,126660,1
974,0,80644,1
975,0,120014,1
976,0,2446,1
977,0,73565,1
978,0,80610,2
979,0,117346,1
980,0,1359,1
981,0,104171,1
982,0,106343,1
983,0,4975,1
984,0,35275,1
985,0,122666,1
986,0,30941,1
987,0,130669,1
988,0,67892,1
989,0,92388,1
990,0,41474,1
991,0,49467,1
992,0,96057,1
993,0,12224,1
994,0,85735,1
995,0,66121,1
996,0,97562,1
997,0,35874,1
998,0,45197,1
999,0,54434,1
1000,0,24105,1
1001,0,30043,2
1002,0,68610,1
1003,0,65458,1
1004,0,127781,1
1005,0,127392,1
1006,0,8306,1
1007,0,53207,1
1008,0,11147,2
1009,0,79873,1
1010,0,32066,1
1011,0,116174,1
1012,0,99887,1
1013,0,98173,1
1014,0,71025,1
1015,0,19766,1
1016,0,130412,1
1017,0,55755,4
1018,0,95847,1
1019,0,98926,2
1020,0,98834,1
1021,0,80495,1
1022,0,58046,2
1023,0,19183,1
1024,0,65649,1
1025,0,106906,1
1026,0,68932,1
1027,0,118997,1
1028,0,73176,1
1029,0,39118,1
1030,0,81154,1
1031,0,63959,1
1032,0,66737,1
1033,0,95786,1
1034,0,33825,1
1035,0,4485,1
1036,0,59547,1
1037,0,389,1
1038,0,114924,1
1039,0,95339,1
1040,0,15300,2
1041,0,8803,1
1042,0,8342,1
1043,0,90167,1
1044,0,30633,1
1045,0,67576,1
1046,0,17139,1
1047,0,33372,1
1048,0,87241,1
1049,0,16693,1
1050,0,20037,1
1051,0,2688,1
1052,0,87877,1
1053,0,67656,1
1054,0,85359,1
1055,0,128698,1
1056,0,48290,1
1057,0,1143,1
1058,0,123628,1
1059,0,109646,1
1060,0,12186,1
1061,0,11068,1
1062,0,111126,1
1063,0,121728,1
1064,0,11552,1
1065,0,20863,1
1066,0,82238,1
1067,0,107672,1
1068,0,122513,1
1069,0,51141,1
1070,0,67938,1
1071,0,83259,1
1072,0,104070,1
1073,0,69306,1
1074,0,49598,2
1075,0,93122,1
1076,0,67152,1
1077,0,95517,1
1078,0,52823,1
1079,0,25270,1
1080,0,32079,1
1081,0,60165,1
1082,0,32495,1
1083,0,82904,1
1084,0,72073,1
1085,0,48461,1
1086,0,74702,1
1087,0,45071,1
1088,0,70171,1
1089,0,114720,1
1090,0,28712,1
1091,0,17964,1
1092,0,119918,1
1093,0,73556,1
1094,0,87529,1
1095,0,27405,1
1096,0,30527,1
1097,0,90073,1
1098,0,84024,1
1099,0,3725,1
1100,0,111973,1
1101,0,41143,1
1102,0,2185,1
1103,0,89100,1
1104,0,11991,1
1105,0,13106,1
1106,0,73489,1
1107,0,84542,1
1108,0,124692,1
1109,0,4324,1
1110,0,126519,1
1111,0,111396,1
1112,0,97496,1
1113,0,52228,1
1114,0,111240,1
1115,0,19275,1
1116,0,71168,1
1117,0,79593,1
1118,0,116477,1
1119,0,113257,1
1120,0,93681,1
1121,0,72107,1
1122,0,5334,1
1123,0,71313,1
1124,0,11660,1
1125,0,17003,1
1126,0,85966,1
1127,0,129873,1
1128,0,100441,1
1129,0,25893,1
1130,0,54651,1
1131,0,111751,1
1132,0,123490,1
1133,0,48729,1
1134,0,92667,1
1135,0,1012,1
1136,0,38808,1
1137,0,102920,1
1138,0,77808,1
1139,0,82010,1
1140,0,73472,1
1141,0,54078,1
1142,1,5569,2
1143,1,50064,12
1144,1,88287,1
1145,1,72237,1
1146,1,87109,1
1147,1,62401,3
1148,1,42662,4
1149,1,114718,1
1150,1,42849,3
1151,1,89232,5
1152,1,6456,1
1153,1,66309,7
1154,1,100771,1
1155,1,33470,3
1156,1,106944,1
1157,1,48272,1
1158,1,107720,3
1159,1,56636,1
1160,1,25364,5
1161,1,108237,2
1162,1,118682,2
1163,1,127556,5
1164,1,53201,2
1165,1,33500,1
1166,1,52267,3
1167,1,19220,2
1168,1,53192,1
1169,1,118160,3
1170,1,40479,1
1171,1,89832,1
1172,1,55593,4
1173,1,53898,7
1174,1,9768,16
1175,1,90850,1
1176,1,96375,1
1177,1,69517,6
1178,1,35874,2
1179,1,21894,5
1180,1,449,2
1181,1,10475,1
1182,1,1410,1
1183,1,43762,2
1184,1,110006,4
1185,1,93712,5
1186,1,127153,1
1187,1,111070,1
1188,1,70759,1
1189,1,46,1
1190,1,37499,1
1191,1,92035,1
1192,1,127588,2
1193,1,18272,1
1194,1,17089,1
1195,1,1145,1
1196,1,115225,2
1197,1,57630,2
1198,1,55103,4
1199,1,45949,1
1200,1,52659,1
1201,1,45698,1
1202,1,68404,1
1203,1,10966,3
1204,1,40719,1
1205,1,46453,1
1206,1,27036,2
1207,1,33446,3
1208,1,59220,4
1209,1,13657,1
1210,1,93430,1
1211,1,8803,1
1212,1,112166,1
1213,1,90968,1
1214,1,4038,3
1215,1,85561,1
1216,1,62128,1
1217,1,77576,1
1218,1,84592,4
1219,1,126597,2
1220,1,92985,8
1221,1,27843,2
1222,1,75244,3
1223,1,12117,1
1224,1,97545,1
1225,1,14032,2
1226,1,125083,5
1227,1,25048,3
1228,1,128708,1
1229,1,9976,2
1230,1,62760,1
1231,1,2402,2
1232,1,113356,3
1233,1,86938,2
1234,1,35453,1
1235,1,6410,1
1236,1,20008,1
1237,1,79518,4
1238,1,74162,4
1239,1,100094,6
1240,1,61420,5
1241,1,103604,1
1242,1,75237,1
1243,1,89302,1
1244,1,23418,2
1245,1,109065,2
1246,1,19453,1
1247,1,40302,7
1248,1,61532,2
1249,1,102458,2
1250,1,10462,1
1251,1,123062,1
1252,1,121860,1
1253,1,128894,1
1254,1,125552,1
1255,1,93724,1
1256,1,119803,1
1257,1,65755,2
1258,1,58032,8
1259,1,80495,3
1260,1,4239,2
1261,1,13121,1
1262,1,23817,2
1263,1,6941,1
1264,1,39118,2
1265,1,43790,5
1266,1,10961,1
1267,1,52696,1
1268,1,71649,3
1269,1,31390,1
1270,1,95309,1
1271,1,25779,1
1272,1,5537,1
1273,1,110875,1
1274,1,6076,1
1275,1,117536,1
1276,1,114704,4
1277,1,13395,5
1278,1,29458,1
1279,1,10325,1
1280,1,56950,1
1281,1,29812,1
1282,1,80394,1
1283,1,127903,1
1284,1,47596,1
1285,1,91111,4
1286,1,20142,1
1287,1,77133,1
1288,1,109804,1
1289,1,127013,1
1290,1,76108,1
1291,1,110427,1
1292,1,100820,1
1293,1,100741,1
1294,1,60154,1
1295,1,126848,1
1296,1,23656,1
1297,1,66532,2
1298,1,49598,3
1299,1,125361,6
1300,1,108474,8
1301,1,101494,4
1302,1,28137,1
1303,1,17325,4
1304,1,35875,1
1305,1,96753,4
1306,1,51207,2
1307,1,39962,7
1308,1,23331,4
1309,1,70408,2
1310,1,130817,3
1311,1,42868,3
1312,1,109302,2
1313,1,8538,6
1314,1,26794,1
1315,1,92207,1
1316,1,110869,3
1317,1,117976,3
1318,1,55261,1
1319,1,120485,5
1320,1,30941,2
1321,1,54766,3
1322,1,93813,1
1323,1,62015,1
1324,1,113677,1
1325,1,11752,3
1326,1,20865,2
1327,1,22134,1
1328,1,130804,1
1329,1,8822,1
1330,1,130216,1
1331,1,108074,4
1332,1,67938,1
1333,1,131729,2
1334,1,129962,3
1335,1,87483,1
1336,1,51402,4
1337,1,19874,2
1338,1,59340,1
1339,1,56732,1
1340,1,5059,1
1341,1,33369,1
1342,1,3915,1
1343,1,49770,4
1344,1,107391,1
1345,1,87877,3
1346,1,88884,4
1347,1,127666,6
1348,1,30043,1
1349,1,103591,2
1350,1,96628,1
1351,1,47685,2
1352,1,65349,1
1353,1,107226,1
1354,1,61599,8
1355,1,27431,1
1356,1,11811,2
1357,1,124340,1
1358,1,105379,2
1359,1,49900,2
1360,1,108143,1
1361,1,60979,1
1362,1,69382,7
1363,1,11842,1
1364,1,123928,3
1365,1,81423,1
1366,1,55737,1
1367,1,6315,4
1368,1,80855,2
1369,1,24167,3
1370,1,5279,3
1371,1,52744,2
1372,1,92286,1
1373,1,1286,3
1374,1,40619,1
1375,1,111240,1
1376,1,41887,1
1377,1,99887,4
1378,1,19736,1
1379,1,44766,5
1380,1,93295,2
1381,1,120813,2
1382,1,109361,1
1383,1,124206,2
1384,1,69404,1
1385,1,122647,1
1386,1,56365,4
1387,1,99134,1
1388,1,30679,1
1389,1,67765,2
1390,1,69232,3
1391,1,4540,3
1392,1,52814,4
1393,1,49327,1
1394,1,91142,1
1395,1,79594,1
1396,1,72235,1
1397,1,65747,1
1398,1,91104,3
1399,1,69138,1
1400,1,35697,1
1401,1,76913,5
1402,1,67576,1
1403,1,31520,1
1404,1,105882,1
1405,1,91685,3
1406,1,120790,1
1407,1,63976,6
1408,1,30925,5
1409,1,60165,1
1410,1,46089,2
1411,1,80754,3
1412,1,37977,2
1413,1,98398,1
1414,1,78431,1
1415,1,50396,1
1416,1,111967,4
1417,1,10655,2
1418,1,24595,2
1419,1,34213,1
1420,1,126660,3
1421,1,112408,4
1422,1,54033,1
1423,1,35707,1
1424,1,48195,9
1425,1,120984,1
1426,1,50163,1
1427,1,74903,2
1428,1,112172,10
1429,1,59047,1
1430,1,114416,4
1431,1,43208,1
1432,1,101096,4
1433,1,86297,1
1434,1,19747,1
1435,1,100260,4
1436,1,69333,1
1437,1,58611,2
1438,1,114720,1
1439,1,42606,1
1440,1,1506,1
1441,1,35772,1
1442,1,37415,1
1443,1,129279,1
1444,1,7549,1
1445,1,3587,2
1446,1,36240,1
1447,1,102231,1
1448,1,42304,1
1449,1,41928,3
1450,1,121558,1
1451,1,94767,1
1452,1,11147,1
1453,1,121975,1
1454,1,37264,1
1455,1,105144,4
1456,1,6563,1
1457,1,99687,2
1458,1,57002,3
1459,1,7839,1
1460,1,94015,1
1461,1,15319,3
1462,1,55222,2
1463,1,48439,1
1464,1,102223,1
1465,1,88164,2
1466,1,2675,4
1467,1,126163,1
1468,1,91941,1
1469,1,6198,1
1470,1,43131,1
1471,1,62101,1
1472,1,86436,3
1473,1,70726,2
1474,1,29048,1
1475,1,104634,1
1476,1,106038,1
1477,1,11086,1
1478,1,25534,2
1479,1,131723,1
1480,1,86965,1
1481,1,13403,1
1482,1,127048,1
1483,1,60099,1
1484,1,61466,5
1485,1,20766,1
1486,1,102320,1
1487,1,99512,1
1488,1,114997,1
1489,1,114103,2
1490,1,31649,1
1491,1,34770,16
1492,1,2049,3
1493,1,86109,2
1494,1,37967,1
1495,1,122743,1
1496,1,18886,1
1497,1,5011,1
